,product,href
0,Air Conditioners,/cro/air-conditioners.htm
1,Air Filters,/cro/air-filters.htm
2,Air Fryers,/cro/air-fryers.htm
3,Air Mattresses,/cro/air-mattresses.htm
4,Air Purifiers,/cro/air-purifiers.htm
5,Airline Travel,/cro/airline-travel.htm
6,All-purpose cleaners,/cro/all-purpose-cleaners.htm
7,Antivirus Software,/cro/antivirus-software.htm
8,Appliance stores,/cro/appliance-stores.htm
9,Athletic shoes,/cro/athletic-shoes/buying-guide/index.htm
10,Baby bathtubs,/cro/baby-bathtubs/buying-guide/index.htm
11,Baby food,/cro/baby-food/buying-guide/index.htm
12,Baby formulas,/cro/baby-formula/buying-guide/index.htm
13,Baby monitors,/cro/baby-monitors.htm
14,Backpack carriers,/cro/backpack-carriers/buying-guide/index.htm
15,Backpacks,/cro/backpacks/buying-guide/index.htm
16,Bacon,/cro/bacon.htm
17,Banks & Credit Unions,/cro/banks-credit-unions.htm
18,Bassinets,/cro/bassinets/buying-guide/index.htm
19,Batteries,/cro/batteries.htm
20,Beer,/cro/beer.htm
21,Bike Helmets,/cro/bike-helmets.htm
22,Bike trailers,/cro/bike-trailers/buying-guide/index.htm
23,Bikes,/cro/bikes/buying-guide/index.htm
24,Blenders,/cro/blenders.htm
25,Blood Glucose Meters,/cro/blood-glucose-meters.htm
26,Blood Pressure Monitors,/cro/blood-pressure-monitors.htm
27,Blu-ray players,/cro/blu-ray-players.htm
28,Boilers,/cro/boilers/buying-guide/index.htm
29,Breakfast sandwiches,/cro/breakfast-sandwiches.htm
30,Breast pumps,/cro/breast-pumps/buying-guide/index.htm
31,Camcorders,/cro/camcorders.htm
32,Cameras,/cro/cameras.htm
33,Car batteries,/cro/car-batteries.htm
34,Car Insurance,/cro/car-insurance.htm
35,Car repair shops,/cro/car-repair-shops.htm
36,Car seats,/cro/car-seats.htm
37,Car wax,/cro/car-wax.htm
38,Carpet cleaners,/cro/carpet-cleaners.htm
39,Carpet stain removers,/cro/carpet-stain-removers.htm
40,Cars,/cars/
41,Cell phones & services,/cro/cell-phones-services.htm
42,Central Air Conditioning,/cro/central-air-conditioning/buying-guide/index.htm
43,Cereals,/cro/cereals.htm
44,Chain Saws,/cro/chain-saws.htm
45,Chocolates,/cro/chocolates.htm
46,Clothes Dryers,/cro/clothes-dryers.htm
47,Coffee,/cro/coffee.htm
48,Coffee makers,/cro/coffee-makers.htm
49,Computer backup systems,/cro/computer-backup-systems/buying-guide/index.htm
50,Computer monitors,/cro/computer-monitors.htm
51,Computers,/cro/computers.htm
52,Convertibles,/cro/cars/convertibles.htm
53,Cooktops,/cro/cooktops.htm
54,Cookware,/cro/cookware.htm
55,Cordless Drills,/cro/cordless-drills.htm
56,Cordless phones,/cro/cordless-phones.htm
57,Countertops,/cro/countertops.htm
58,Credit cards,/cro/credit-cards/buying-guide/index.htm
59,Crib bedding,/cro/crib-bedding/buying-guide/index.htm
60,Crib mattresses,/cro/crib-mattresses/buying-guide/index.htm
61,Cribs,/cro/cribs.htm
62,Customer service,/cro/customer-service.htm
63,Decking,/cro/decking/buying-guide/index.htm
64,Dehumidifiers,/cro/dehumidifiers.htm
65,Diaper bags,/cro/diaper-bags/buying-guide/index.htm
66,Diapers,/cro/diapers/buying-guide/index.htm
67,Diet plans,/cro/diet-plans.htm
68,Dishwasher detergents,/cro/dishwasher-detergents.htm
69,Dishwashers,/cro/dishwashers.htm
70,Door Locks,/cro/door-locks.htm
71,E-book readers,/cro/e-book-readers.htm
72,Electric razors,/cro/electric-razors.htm
73,Electronics stores,/cro/electronics-stores.htm
74,Ellipticals,/cro/ellipticals.htm
75,Entry doors,/cro/entry-doors/buying-guide/index.htm
76,Exercise bikes,/cro/exercise-bikes.htm
77,Extended warranties,/cro/extended-warranties/buying-guide/index.htm
78,Eyeglass stores,/cro/eyeglass-stores.htm
79,Fast Food,/cro/fast-food.htm
80,Fast-food restaurants,/cro/fast-food-restaurants.htm
81,Faucets,/cro/faucets/buying-guide/index.htm
82,Fire extinguishers,/cro/fire-extinguishers/buying-guide/index.htm
83,Fitness trackers,/cro/fitness-trackers.htm
84,Flooring,/cro/flooring.htm
85,Food processors & choppers,/cro/food-processors-choppers.htm
86,Freezers,/cro/freezers.htm
87,Frozen Foods,/cro/frozen-foods.htm
88,Frozen pizza,/cro/frozen-pizza.htm
89,Frozen waffles,/cro/frozen-waffles.htm
90,Garbage disposers,/cro/garbage-disposers.htm
91,Gas furnaces,/cro/gas-furnaces/buying-guide/index.htm
92,Generators,/cro/generators.htm
93,Glues,/cro/glues/buying-guide/index.htm
94,GPS,/cro/gps.htm
95,Grills,/cro/grills.htm
96,Grocery Stores & Supermarkets,/cro/grocery-stores-supermarkets.htm
97,Guacamole,/cro/guacamole.htm
98,Hair removal,/cro/hair-removal/buying-guide/index.htm
99,Headlight restoration kits,/cro/headlight-restoration-kits/buying-guide/index.htm
100,Headphones,/cro/headphones.htm
101,Healthy snacks,/cro/healthy-snacks.htm
102,Hearing aids,/cro/hearing-aids.htm
103,Heart-rate monitors,/cro/heart-rate-monitors.htm
104,Heat pumps,/cro/heat-pumps/buying-guide/index.htm
105,High chairs,/cro/high-chairs.htm
106,Home Security Cameras,/cro/home-security-cameras.htm
107,Home Security Systems,/cro/home-security-systems.htm
108,Homeowners insurance,/cro/homeowners-insurance.htm
109,Hotel rooms,/cro/hotel-rooms/buying-guide/index.htm
110,Humidifiers,/cro/humidifiers.htm
111,Hybrids/EVs,/cro/cars/hybrids-evs.htm
112,Ice Creams & Frozen Desserts,/cro/ice-creams-frozen-desserts.htm
113,Insect Repellents,/cro/insect-repellent.htm
114,Investment companies,/cro/investment-companies.htm
